GA_LH_000029	Figures of British Land Birds	Bøker	Bewick, Thomas	Bøker	Illustrerte	1	Sikker	1800		Sikker	Newcastle	Storbritannia	Europa	Bewick, Thomas	14.7	24.5			Trykk på papir, innbundet.		Magasinet	Reol A2	Hylle 3	Midten			Newcastle upon Tyne: R. Beilby og T. Bewick, 1800. Bind 1. Illustrasjoner i xylografi av Thomas Bewick. 	Lysten og hemmeligheten, naturhistorie, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000030	25 images de la passion d'un homme	Bøker	Bildebøker	Bøker	Masereel, Frans	0	Sikker	1918		Sikker	Genève	Sveits	Europa	Masereel, Frans	24	29.6			Tresnitt på papir.		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Genève: Kunstnerens eget forlag, 1918. Bilderoman med originale tresnitt av Frans Masereel (25 pl.). Håndskrevet påskrift: "Exemplaire l'auteur". Ubundne sider i omslag.	Lysten og hemmeligheten, ARKIV, 1910-1919	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000031	Mein Stundenbuch	Bøker	Bildebøker	Bøker	Masereel, Frans	1	Sikker	1927		Sikker	München	Tyskland	Europa	Masereel, Frans	11.9	15.5			Trykk på papir, innbundet.	Gave fra Albert Jærn til Ragnar Bjørnaraa 15/10/27.	Magasinet	Reol A1	Hylle 2	Venstre, i kasse			München: Kurt Wolff Verlag, 1927. Bilderoman med illustrasjoner av Frans Masereel. Håndskrevet påskrift: Til Ragnar Bjørnaraa, Fra Albert Jærn. 15/10/27.	Lysten og hemmeligheten, 1920-1929	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000032	Mot Dag. Litterraturnummer	Magasiner	Andre				Sikker	1923		Sikker	Oslo	Norge	Europa	Hoel, Sigurd & Falk, Erling (red.)	19	26			Trykk på papir, innbundet.						IKKE merket		Kristiania 1923, 3. årgang, nr. 11. Tidsskriftet "Mot Dag"s litteraturnummer. Forsideillustrasjon av Frans Masereel. 	Lysten og hemmeligheten, 1920-1929	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000033	Og så kom befrierne: utdrag av min dagbok gjennom fem år	Bøker	Artist's books			1	Sikker	1945		Sikker	Oslo	Norge	Europa	Jærn, Albert	21.9	29.6			Tresnitt, innbundet.		Magasinet	Reol A2	Hylle 2	Midten			Oslo: Reistad & Sønn, 17. mai 1945. Nr. 62. Utgitt i 200 nummererte og signerte eksemplarer. Med originale tresnitt av Albert Jærn (100 pl.) og et et stort antall mindre vignetter. 	Lysten og hemmeligheten, ARKIV, originalgrafikk, krig, 1940-1949	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000034	Orfeus og Eurydike. Første del	Bøker	Bildebøker			0	Sikker	1959		Sikker	København	Danmark	Europa	Nielsen, Palle	32.7	43			Linoleumssnitt på papir, innbundet. 		Magasinet	Reol A1	Hylle 1	Høyre, liggende			København: Hans Reitzel, 1959. Første del. Bildebok med originale linoleumssnitt av Palle Nielsen (53 pl.). Løse vedlegg: to ubundne dobbeltsider med introduksjonstekst i engelsk oversettelse. Tilhørende futteral i papp.	Lysten og hemmeligheten, ARKIV, originalgrafikk, 1950-1959	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000035	Om dette: Til henne og til meg	Bøker	Russisk avant-garde			1	Sikker	1923		Sikker	Moskva	Russland	Europa	Majakovskij, Vladimir	15.1	23			Trykk på papir, heftet.		Magasinet	Reol A2	Hylle 1	Høyre, i eget etui, liggende			Moskva: Gosudarstvennoe izdatel'stvo, 1923. Diktbok av Vladimir Majakovskij. Formgitt og illustrert av Aleksandr Rodtsjenko.	Lysten og hemmeligheten, 1920-1929	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000036	Et spill i helvete	Bøker	Russisk avant-garde	Bøker	Artist's books	1	Sikker	1914		Sikker	St. Petersburg	Russland	Europa	Khlebnikov, Velimir & Krutsjenykh, Aleksej	13.3	18.1			Litografi på papir, heftet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			St. Petersburg 1914. Diktbok av Velimir Khlebnikov og  Aleksej Krutsjenykh. Omslag av Kazimir Malevitsj. Illustrasjoner av Olga Rozanovas.	Lysten og hemmeligheten, ARKIV, 1920-1929	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000037	For stemmen (Dlia golosa)	Bøker	Russisk avant-garde	Bøker	Artist's books	1	Sikker	1923		Sikker	Moskva	Russland	Europa	Majakovskij, Vladimir	13.4	18.8									IKKE merket	Korea	Moskva: Gosudarstvennoe izdatel'stvo, 1923. Diktbok av Vladimir Majakovskij. Formgitt og illustrert av El Lissitzky. 	Lysten og hemmeligheten, typografi, ARKIV, 1920-1929	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000038	Poetens notater	Bøker	Russisk avant-garde			1	Sikker	1928		Sikker	Berlin	Tyskland	Europa	Selvinskij, Ilja	12.1	17			Trykk på papir, heftet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Berlin: Gosudarstvennoje izdatel'stvo, 1928. Diktbok av Ilja Selvinskij. Omslag og fotomontasje av El Lissitzky. 	Lysten og hemmeligheten, fotocollage, 1920-1929	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000039_A	Russland: Die Rekonstruktion der Architektur in der Sowjetunion	Magasiner	Andre	Bøker	Russisk avant-garde	1	Sikker	1930		Sikker	Wien	Østerrike	Europa	Lissitzky, El (red.)	29	28.9			Trykk på papir, innbundet (oppr. heftet) .		Magasinet	Reol A2	Hylle 2	Høyre			Wien: Anton Schroll & Co, 1930. Hefte nr. 1 i serie om samtidsarkitektur, "Neues Bauen in der Welt". Omslag formgitt av El Lissitzky. Sammeninnbundet  med nr. 3 og nr.1 fra samme serie. 	Lysten og hemmeligheten, fotocollage, 1930-1939	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000039_B	Amerika: Die Stilbildung des neuen Bauens in den Vereinigten Staaten	Magasiner	Andre	Bøker	Russisk avant-garde	1	Sikker	1930		Sikker	Wien	Østerrike	Europa	Neutra, Richard (red.)	29	28.9			Trykk på papir, innbundet (oppr. heftet) .		Magasinet	Reol A2	Hylle 2	Høyre			Wien: Anton Schroll & Co, 1930. Hefte nr. 2 i serie om samtidsarkitektur, "Neues Bauen in der Welt". Omslag formgitt av El Lissitzky. Sammeninnbundet  med nr. 3 og nr.1 fra samme serie. 	Lysten og hemmeligheten, fotocollage, 1930-1939	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000039_C	Frankreich: Die Entwicklung der neuen Ideen nach Konstruktion und Form	Magasiner	Andre	Bøker	Russisk avant-garde	1	Sikker	1930		Sikker	Wien	Østerrike	Europa	Ginzburger, Roger (red.)	22.5	28.9			Trykk på papir, innbundet (oppr. heftet) .		Magasinet	Reol A2	Hylle 2	Høyre			Wien: Anton Schroll & Co, 1930. Hefte nr. 3 i serie om samtidsarkitektur, "Neues Bauen in der Welt". Omslag formgitt av El Lissitzky. Sammeninnbundet med nr. 2 og nr.1 fra samme serie. 	Lysten og hemmeligheten, fotocollage, 1930-1939	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000041	Majakovskijs ungdom	Bøker	Russisk avant-garde			1	Sikker	1931		Sikker	Tbilisi	Georgia	Europa	Kamenskij, Vasilij	12	17			Trykk på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Tbilisi: Zakkniga, 1931. Omslag formgitt av Bor R (Konstantin Ramenskij).	Lysten og hemmeligheten, ARKIV, 1930-1939	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000042	USSR im Bau	Bøker	Russisk avant-garde	Magasiner	Andre	1	Sikker	1933		Sikker	Moskva	Russland	Europa	Pjatakov, Georgij (red.)	30.1	41.8			Trykk på papir, heftet.		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Moskva: Vereinigung der Staatsverlage RSFSR, nr. 9, 1933. Omslag formgitt av El Lissitzky.	Lysten og hemmeligheten, fotocollage, typografi, 1930-1939	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000043	Arkitektoniske fiksjoner	Bøker	Arkitektur	Bøker	Russisk avant-garde		Sikker	1933		Sikker	St Petersburg	Russland	Europa	Tsjernikov, Jakob 	20.5	30									IKKE merket	Korea	Leningrad: Meshdunarodnaja kniga, 1933.	Lysten og hemmeligheten, ARKIV, 1930-1939	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000044	Varitéplakat	Plakater	Teaterplakater			1	Usikker	1890		Sikker		Norge	Europa	Eldorado Varité & Tønsbergs Bogtrykkeri	32.5	42			Boktrykk på rispapir.		Magasinet	Skyvevegg A		Midten	IKKE merket (skrudd fast)		Tønsbergs Bogtrykkeri, ca. 1890. Varitéplakat trykt på dekorert rispapir, trolig fra Japan. Montert i glass og ramme.	Lysten og hemmeligheten, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000045	Prøvebok fra gravørverksted	Bøker	Arabiske & orientalske	Bøker	Prøvebøker	2	Usikker			Sikker		Japan	Asia	Ukjent	30	21.5			Avgnidning av metallplater på papir, innbundet.		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan, ukjent år. Enkeltprodusert varekatalog for metallverksted med avgnidinger av graverte metallplater.	Lysten og hemmeligheten, metall	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
GA_LH_000046	Selvportrett 1836	Bøker	Arabiske & orientalske	Bøker	Bildebøker		Sikker	1850		Sikker		Japan	Asia	Hokusai, Katsushika	15.5	22.3			Tresnitt på rispapir, hefet.								Japan 1850. Bildebok av Katsushika Hokusai. Reproduksjon i tresnitt av Egawa Tomekicki.	Lysten og hemmeligheten, manga, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", G.G., Pax forlag, 2004.
